city,lng,lat
Jerusalem,35.2167,31.7833
Panama City,-79.5,9.0
Lomé,1.2228,6.1319
Libreville,9.4544,0.3901
Zagreb,15.95,45.8
Dushanbe,68.7864,38.5731
Lilongwe,33.7833,-13.9833
Cotonou,2.52,6.4
Vientiane,102.6,17.9667
Colombo,79.8333,6.9167
Kigali,30.0606,-1.9536
Pretoria,28.1881,-25.7464
Bangui,18.5628,4.3732
Winnipeg,-97.1464,49.8844
Quebec City,-71.2081,46.8139
Riga,24.1069,56.9475
Oslo,10.7528,59.9111
Chisinau,28.8575,47.0056
Athens,23.7161,37.9794
Bujumbura,29.3611,-3.3825
Helsinki,24.9342,60.1756
Skopje,21.4333,41.9833
Kuwait City,47.98,29.375
Kingston,-76.7931,17.9714
Vilnius,25.2833,54.6833
San Salvador,-89.1914,13.6989
Djibouti,43.1481,11.595
Lisbon,-9.1604,38.7452
Kitchener,-80.4728,43.4186
Tallinn,24.745,59.4372
Cape Town,18.425,-33.925
Bratislava,17.1128,48.1447
Tirana,19.82,41.33
Canberra,149.1269,-35.2931
Wellington,174.7772,-41.2889
Beirut,35.5131,33.8869
Dodoma,35.75,-6.25
Halifax,-63.5906,44.6475
Bissau,-15.5956,11.8592
Juba,31.6,4.85
Port Moresby,147.1494,-9.4789
Yamoussoukro,-5.2742,6.8161
Victoria,-123.3647,48.4283
Maseru,27.48,-29.31
Nicosia,33.365,35.1725
Windhoek,17.0836,-22.57
Porto-Novo,2.6167,6.4833
Sucre,-65.2592,-19.0431
San José,-84.0833,9.9333
Ljubljana,14.5167,46.05
Sarajevo,18.4167,43.8667
Nassau,-77.3333,25.0667
Bloemfontein,26.2167,-29.1
Gaborone,25.9086,-24.6569
Paramaribo,-55.1667,5.8667
Dili,125.5736,-8.5586
Pristina,21.1667,42.6667
Georgetown,-58.1667,6.7833
Malabo,8.7737,3.7521
Brussels,4.3517,50.8467
Male,73.5083,4.175
Podgorica,19.2661,42.4397
Manama,50.5831,26.2167
Port Louis,57.5,-20.1667
New Delhi,77.2,28.7
Bern,7.4474,46.948
Reykjavík,-21.935,64.1475
Praia,-23.5092,14.9177
Luxembourg,6.1328,49.6106
Sri Jayewardenepura Kotte,79.9164,6.9
Bridgetown,-59.6167,13.0975
Moroni,43.2536,-11.7036
Thimphu,89.6333,27.4833
Mbabane,31.1333,-26.3167
Honiara,159.95,-9.4333
Suva,178.4333,-18.1333
Castries,-60.9833,14.0167
São Tomé,6.7333,0.3333
Port-Vila,168.3,-17.75
Bandar Seri Begawan,114.9167,4.9167
Monaco,7.4069,43.7396
Gitega,29.9306,-3.4264
Port of Spain,-61.5167,10.6667
Apia,-171.8333,-13.8333
Vaduz,9.5215,47.1415
Banjul,-16.5775,13.4531
Tarawa,173.0176,1.3382
Majuro,171.3667,7.1167
Kingstown,-61.2333,13.1667
Nuku‘alofa,-175.2083,-21.1347
Saint John’s,-61.8447,17.1211
Andorra la Vella,1.5,42.5
Belmopan,-88.7675,17.25
Roseau,-61.3833,15.3
Basseterre,-62.7342,17.2983
Pago Pago,-170.7046,-14.274
Valletta,14.5125,35.8978
Palikir,158.185,6.9178
Funafuti,179.2167,-8.5167
Lobamba,31.1667,-26.4167
Saint George’s,-61.7417,12.0444
San Marino,12.4484,43.932
Al Quds,35.2269,31.7764
Capitol Hill,145.7546,15.2137
Hagåtña,144.7504,13.4745
Ngerulmud,134.6242,7.5006
Bareilly,79.415,28.364
Quảng Hà,108.25,16.06
Kitaku,130.82,33.8704
Jodhpur,73.0168,26.2918
Xingcheng,115.6669,24.1681
Dongtai,120.3037,32.8534
Joinvile,-48.8399,-26.32
Yingcheng,113.4042,24.1876
Dnipro,34.9833,48.45
Glasgow,-4.2514,55.8609
Chiba,140.1,35.6
Danyang,119.575,31.9948
Natal,-60.2699,-6.9838
Naples,14.25,40.8333
Zhaodong,125.9773,46.0635
Xibeijie,98.5049,39.737
Kirkuk,44.4,35.4667
Huilong,121.6574,31.8131
Tongjin,127.2011,37.2361
Oklahoma City,-97.5136,35.4676
Toulouse,1.444,43.6045
